Date		   Time		Temp	Humid	WnSpd	gndfo	diflo		Z1_P.C			Z2_P.C			Z3_P.C
1/1/2017	 	0:00	6.559	73.8	0.083	0.051	0.119		34055.6962		16128.87538		20240.96386
1/1/2017	 	0:10	6.414	74.5	0.083	0.07	0.085		29814.68354		19375.07599		20131.08434
1/1/2017	 	0:20	6.313	74.5	0.08	0.062	0.1			29128.10127		19006.68693		19668.43373
1/1/2017	 	0:30	6.121	-999	0.083	0.091	0.096		28228.86076		18361.09422		18899.27711
1/1/2017	 	0:40	5.921	75.7	0.081	0.048	0.085		27335.6962		17872.34043		18442.40964
1/1/2017	 	0:50	5.853	76.9	0.081	0.059	0.108		26624.81013		17416.41337		18130.12048
1/1/2017	 	1:00	5.641	77.7	0.08	0.048	0.096		25998.98734		16993.31307		17945.06024
1/1/2017	 	1:10	5.496	78.2	0.085	0.055	0.093		25446.07595		16661.39818		17459.27711
1/1/2017	 	1:20	5.678	78.1	0.081	0.066	0.141		24777.72152		16227.35562		17025.54217
1/1/2017	 	1:30	5.491	77.3	0.082	0.062	0.111		24279.49367		15939.20973		16794.21687
1/1/2017	 	1:40	5.516	77.5	0.081	0.051	0.108		23896.70886		15435.86626		16638.07229
1/1/2017	 	1:50	5.471	76.7	0.083	0.059	0.126		23544.3038		15213.37386		16395.18072
1/1/2017	 	2:00	5.059	78.6	0.081	0.07	0.096		23003.5443		15169.60486		16117.59036
1/1/2017	 	2:10	4.968	78.8	0.084	0.07	0.134		22329.11392		14710.0304		15822.6506
1/1/2017	 	2:20	4.975	78.9	0.083	0.055	0.152		22092.1519		14421.8845		15672.28916
1/1/2017	 	2:30	4.897	79.1	0.083	0.07	0.096		21903.79747		14104.55927		15597.10843
1/1/2017	 	2:40	5.02	79.7	0.081	0.051	0.134		21685.06329		13965.95745		15510.36145
1/1/2017	 	2:50	5.407	78.5	0.082	0.062	0.163		21484.55696		13612.15805		15336.86747
1/1/2017	 	3:00	5.169	77.9	0.083	0.066	0.108		21107.8481		13535.56231		15140.24096
1/1/2017	 	3:10	5.081	77.7	0.084	0.051	0.13		20998.48101		13371.42857		15059.27711
1/1/2017	 	3:20	5.041	77.2	0.081	0.062	0.152		20870.88608		13196.35258		15013.01205
1/1/2017	 	3:30	5.034	76.9	0.083	0.051	0.185		20870.88608		13167.17325		14897.3494
1/1/2017	 	3:40	4.896	76.6	0.085	0.07	0.137		20597.46835		13137.99392		14602.40964
1/1/2017	 	3:50	4.805	76.2	0.081	0.059	0.134		20421.26582		12908.20669		14590.84337
1/1/2017	 	4:00	4.753	75.7	0.083	0.044	0.134		20524.55696		12820.66869		14585.06024
1/1/2017	 	4:10	4.901	74.4	0.083	0.07	0.122		20482.02532		13032.21884		14452.04819
1/1/2017	 	4:20	5.203	74.1	0.085	0.062	0.096		20530.63291		12926.44377		14232.28916
1/1/2017	 	4:30	5.394	71.9	0.081	0.073	0.1			20512.40506		12948.32827		14157.10843
1/1/2017	 	4:40	5.156	-999	0.079	0.062	0.148		20494.17722		12922.79635		14232.28916
1/1/2017	 	4:50	5.179	74.2	0.083	0.037	0.137		20311.89873		12879.02736		14243.85542
1/1/2017	 	5:00	4.934	72.9	0.082	0.055	0.134		20542.78481		12806.07903		14243.85542
1/1/2017	 	5:10	4.718	75.8	0.08	0.051	0.152		20621.77215		12853.49544		14105.06024
1/1/2017	 	5:20	5.546	-999	0.082	0.055	0.093		20627.8481		12842.55319		14266.98795
1/1/2017	 	5:30	4.658	73.5	0.08	0.044	0.104		20797.97468		13137.99392		14353.73494
1/1/2017	 	5:40	4.382	76.9	0.081	0.073	0.148		20858.73418		13203.64742		14538.79518
1/1/2017	 	5:50	4.212	78.3	0.081	0.117	0.082		21393.41772		13575.68389		14862.6506
1/1/2017	 	6:00	4.308	77.2	0.081	0.062	0.126		22219.74684		14068.08511		14908.91566
